Topic	Scores
паралимпийский сша автомобиль корабль malaysia airlines состояться минобороны навальный парламент	0.017943743937924344,0.01212415130940834,0.004849660523763337,0.004849660523763337,0.021823472356935016,0.004849660523763337,0.02230843840931135,0.12027158098933075,0.00533462657613967,0.01600387972841901
россия сша обсуждать рубль призывать путин возглавлять выступать ситуация обращение	0.011154219204655674,0.008244422890397672,0.028128031037827354,0.03394762366634336,0.004849660523763337,0.017943743937924344,0.1338506304558681,0.04122211445198836,0.03491755577109602,0.037827352085354024
референдум сочи самолет лавров соглашение территория данные запад право подписывать	0.026188166828322017,0.03831231813773036,0.006304558680892337,0.012609117361784675,0.013094083414161009,0.0072744907856450046,0.016488845780795344,0.06838021338506305,0.07468477206595538,0.036372453928225024
россия дело премьер сообщать сирийский неделя женева неизвестный махачкала конституция	0.01600387972841901,0.06450048496605237,0.042192046556741025,0.01842870999030068,0.06983511154219205,0.04849660523763336,0.0072744907856450046,0.03976721629485936,0.03976721629485936,0.03831231813773036
задерживать иран лидер шестерка называть олланд пообещать фото парковка предполагать	0.009699321047526674,0.09699321047526673,0.03152279340446169,0.03297769156159069,0.008729388942774006,0.016488845780795344,0.006304558680892337,0.011154219204655674,0.004849660523763337,0.004849660523763337
диалог ситуация амнистия газета убийство сирия возвращение удаваться киров маяковский	0.004849660523763337,0.03152279340446169,0.029582929194956354,0.09408341416100872,0.004849660523763337,0.011154219204655674,0.025703200775945685,0.004849660523763337,0.010184287099903006,0.004849660523763337
москва глава путин получать считать российский партия находить женщина возможность	0.08195926285160039,0.03976721629485936,0.040737148399612025,0.039282250242483024,0.029097963142580018,0.011154219204655674,0.030552861299709022,0.053831231813773035,0.08341416100872939,0.03443258971871969
киев сочи майдан олимпиада переговоры площадь выходить глава тимошенко заявлять	0.01988360814742968,0.00533462657613967,0.0504364694471387,0.004849660523763337,0.004849660523763337,0.12754607177497576,0.02133850630455868,0.004849660523763337,0.004849660523763337,0.004849660523763337
олимпиада суд стрельба фигурист московский полицейский устраивать япония брестский cnn	0.004849660523763337,0.01988360814742968,0.004849660523763337,0.026188166828322017,0.1440349175557711,0.004849660523763337,0.004849660523763337,0.004849660523763337,0.004849660523763337,0.004849660523763337
завоевывать сша заявлять акция предлагать зачет выступать парламент граница пожар	0.015518913676042677,0.01600387972841901,0.004849660523763337,0.009699321047526674,0.040252182347235696,0.06013579049466537,0.011639185257032008,0.02667313288069835,0.053831231813773035,0.020368574199806012
принимать телеканал закон переговоры решать оружие дождь выходить правительство союз	0.004849660523763337,0.025703200775945685,0.031037827352085354,0.08195926285160039,0.036372453928225024,0.004849660523763337,0.013579049466537343,0.03976721629485936,0.009699321047526674,0.036372453928225024
